Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Орлик,Олекса,Вікторович,Чоловіча,1984-08-25,Фотограф,місто Лозова ,"шосе Кузнечна, буд. 9 кв. 398, Мала Виска, 44927",+380 21 259 97 22,nataliia60@example.org
Єрьоменко,Марія,Олександрівна,Жіноча,1988-07-07,Фармацевт,селище Бердянськ,"парк Троїцька, буд. 60, Герца, 97000",911-93-00,havryloiurchenko@example.net
Хоменко,Єфрем,Віталійович,Чоловіча,2005-11-01,Астроном,село Теребовля,"парк 11-та Суворовська, буд. 6 кв. 2, Великі Мости, 25462",044 361 90 59,odarkalavrenko@example.net
Титаренко,Нестор,Володимирович,Чоловіча,1966-08-10,Гінеколог,місто Судак ,"площа Моторний 1-й, буд. 180 кв. 9, Старий Самбір, 68462",+380 (02) 015-52-98,moskalviktor@example.net
Сиротенко,Валерій,Вікторович,Чоловіча,1978-08-09,Державний службовець,село Прип'ять ,"провулок Шкільний аеродром, буд. 04 кв. 2, Пологи , 77248",731-93-57,albina55@example.org
Теліженко,Геннадій,Вікторович,Чоловіча,1993-05-11,Модель,село Харків,"узвіз Авдєєва-Чорноморського, буд. 372, Курахове, 61036",+380 (24) 047-59-92,nieshchenko@example.com
Авраменко,Артем,Віталійович,Чоловіча,1945-12-11,Клавішник,село Охтирка,"провулок Чорноморський 12-й, буд. 30 кв. 970, Вуглегірськ, 15432",033 396-64-17,milenaatroshchenko@example.com
Скорик,Венедикт,Романович,Чоловіча,1971-01-06,Психолог,селище Белз,"провулок Костанді 2-й, буд. 88, Радомишль, 61081",+380 45 962-50-04,fpryimak@example.net
Шовкопляс,Віолетта,Олександрівна,Жіноча,1982-04-06,Публіцист,хутір Почаїв,"набережна Рибальська, буд. 591, Хмільник, 78756",+380 82 872 58 81,tsiupaviktoriia@example.com
Кармалюк,Орина,Петрівна,Жіноча,1976-03-14,Археолог,хутір Мар'їнка,"площа Болградська, буд. 226 кв. 199, Бахчисарай, 72852",022 453-73-77,mykytaiakovenko@example.com
Сірко,Леон,Євгенович,Чоловіча,2004-04-26,Конструктор,селище Кам'янка-Бузька,"провулок Тещин міст, буд. 44 кв. 598, Новомиргород, 42303",061 715 71 69,nataliiasachenko@example.com
Їжак,Леон,Романович,Чоловіча,1984-02-01,Промисловець,місто Буськ,"сквер Лодочний, буд. 505 кв. 453, Ізюм, 40113",+380 31 021-85-24,svystuntymofii@example.net
Канівець,Христина,Миколаївна,Жіноча,1964-01-23,Стоматолог,хутір Чернівці,"площа Єлісаветинська, буд. 1 кв. 830, Сколе, 76604",076 108-28-86,geregaamvrosii@example.com
Кабалюк,Марта,Вікторівна,Жіноча,1942-11-27,Шериф,селище Волочиськ,"сквер Теплична, буд. 8 кв. 92, Феодосія, 34055",524 93 28,vovkviktoriia@example.org
Козак,Анастасія,Григорівна,Жіноча,2000-11-09,Дантист,хутір Роздільна,"сквер Олександра Невського 5-й, буд. 1 кв. 6, Буринь, 65018",+380 96 542-38-93,valentyna08@example.net
Зінкевич,Роксолана,Ярославівна,Жіноча,1956-02-27,Краєзнавець,хутір Гірське,"вулиця Бузковий, буд. 653, Перемишляни, 10170",575-46-88,tytarenkosvitlana@example.org
Гаєвський,Емілія,Григорівна,Жіноча,2003-08-05,Краєзнавець,місто Горохів,"провулок Бісквітний, буд. 888, Авдіївка, 98735",267 36 57,zakharpetryk@example.com
Бездітко,Орина,Василівна,Жіноча,2003-12-31,Штукатур,хутір Пологи ,"узвіз Маршала Говорова, буд. 27, Сватове, 88558",+380 11 709 48 55,ovsiienkoiarema@example.com
Бандура,Варвара,Олександрівна,Жіноча,1963-09-25,Фермер,село Горлівка,"парк Азовський, буд. 946, Бердичів, 06624",+380 (64) 457-55-80,abramchukmarko@example.com
Тимчук,Варфоломій,Дмитрович,Чоловіча,1955-06-11,Випробувач,селище Чортків,"площа Історія Футболу, буд. 089 кв. 425, Погребище, 58612",279-45-50,vlokhielysaveta@example.com
Тесленко,Роксолана,Іванівна,Жіноча,1981-07-09,Водій,селище Красногорівка,"сквер Приморський, буд. 474, Умань, 81082",099 374-28-51,varfolomii94@example.com
Хомик,Аніта,Романівна,Жіноча,1987-01-05,Електромонтер,місто Ялта,"парк Кавунова, буд. 4 кв. 9, Скадовськ, 67032",+380 65 742-51-77,tsisykleopold@example.org
Тимченко,Богданна,Леонідівна,Жіноча,2006-08-09,Каскадер,місто Іллінці,"набережна Ванний, буд. 91 кв. 24, Узин, 24704",+380 (60) 068-39-13,cpavlychenko@example.net
Артюшенко,Устим,Сергійович,Чоловіча,1999-11-24,Кінорежисер,село Винники,"площа Нова, буд. 51, Бровари, 79361",061 077-86-03,lkharchenko@example.com
Адаменко,Вікторія,Дмитрівна,Жіноча,2005-08-26,Будник,село Суходільськ,"парк 3-тя Суворовська, буд. 179 кв. 9, Новоукраїнка, 91585",023 507-95-62,pelekhsviatoslav@example.com
Олійник,Оксана,Богданівна,Жіноча,2006-09-22,Кушнір,село Антрацит ,"шосе Учнівська, буд. 6, Кадіївка, 85581",444-08-33,iesypenkohlib@example.net
Лаба,Гаврило,Васильович,Чоловіча,1991-05-04,Електрик,селище Овруч,"проспект Інтернаціональний, буд. 796 кв. 9, Хуст, 44675",+380 (25) 691-16-71,uandreiko@example.com
Шаблій,Назар,Леонідович,Чоловіча,1989-10-04,Реставратор,село Білопілля,"набережна Лінія 33-тя, буд. 7, Заліщики, 73585",+380 80 271-12-93,darahanmykhailo@example.org
Бакуменко,Демʼян,Федорович,Чоловіча,2001-12-19,Адвокат,місто Ржищів,"парк Рівний, буд. 35, Алушта, 18718",+380 (65) 080-73-24,ostapizhak@example.org
Ватаманюк,Тимофій,Федорович,Чоловіча,1976-04-05,Електрик,селище Бахмут,"проспект Світанку, буд. 7 кв. 726, Яворів, 30532",084 671 62 05,rostyslavkorsun@example.org
Алексеєнко,Ярослава,Романівна,Жіноча,1988-05-22,Астрофізик,хутір Сколе,"парк Десятого квітня, буд. 261, Ірпінь, 66389",+380 05 101-73-59,bohuslav80@example.com
Фоменко,Володимир,Іванович,Чоловіча,1962-12-18,Бібліотекар,хутір Арциз,"шосе Басейна, буд. 973 кв. 794, Павлоград, 30965",+380 17 436 59 95,levko32@example.com
Цюцюра,Пантелеймон,Андрійович,Чоловіча,1941-11-22,Візажист,селище Хоростків,"шосе Кладовищний, буд. 0 кв. 5, Радомишль, 75220",+380 91 763-14-42,uturkalo@example.org
Лемешко,Людмила,Федорівна,Жіноча,1977-03-06,Етнограф,хутір Чорноморськ,"проспект Залізнична, буд. 0 кв. 5, Бахчисарай, 13763",+380 49 226-19-40,pavlenkomykhailyna@example.com
Шеремет,Арсен,Леонідович,Чоловіча,1943-08-28,Співак,село Новоазовськ,"набережна Бузковий, буд. 26, Могилів-Подільський, 98420",+380 94 350-77-72,avhustyndakhno@example.com
Засядько,Віолетта,Богданівна,Жіноча,1970-09-13,Стропальник,село Звенигородка,"сквер Скидановська, буд. 4 кв. 3, Макіївка, 36782",+380 (27) 673-62-03,iakymchukodarka@example.net
Романець,Олег,Дмитрович,Чоловіча,1977-03-06,Гицель,місто Каховка,"набережна Желябова, буд. 852, Нікополь, 70487",848 41 07,orkhyp54@example.com
Оберемко,Аніта,Дмитрівна,Жіноча,1950-03-26,Краєзнавець,хутір Золочів,"набережна Нафтовиків 2-й, буд. 08 кв. 08, Гола Пристань, 34259",188-11-25,oartymyshyn@example.org
Усик,Пилип,Павлович,Чоловіча,1984-01-05,Публіцист,селище Одеса,"провулок Різдвяна, буд. 42, Березне, 49561",008 243 91 39,violetta45@example.org
